username,password,email,type_document,first_name,last_name,birth_date,sex,birth_place,country,city,phone,address,ethnicity,headquarter,PAPA,PBM,advance,faculty,major,is_enrolled,admission,study_level,num_semesters,contact_person,id
santiago.garcia@unal.edu.co,Password123,santiago.garcia@unal.edu.co,CC,Santiago,García,1995-04-15,M,Bogota,Colombia,Bogota,310 123 4567,Carrera 10 # 25-35,NA,BO,4.8,2,92,Ciencias Agrarias,VETE,t,REGUL,PRE,5,1,5596848490
valentina.rodriguez@unal.edu.co,TestPassword,valentina.rodriguez@unal.edu.co,CC,Valentina,Rodríguez,1996-08-22,F,Bogota,Colombia,Bogota,320 987 6543,Calle 20 # 15-45,NA,BO,4.8,9,86,Ciencias Económicas,ECON,t,REGUL,PRE,1,,1196989870
mateo.martinez@example.com,123456Abc,mateo.martinez@example.com,CC,Mateo,Martínez,1996-08-22,M,Medellín,Colombia,Medellín,300 456 7890,Avenida 5 # 8-16,NA,ME,3.5,17,50,Minas,IMIN,t,REGUL,PRE,1,,106398477
isabella.gonzalez@unal.edu.co,Pasword021,isabella.gonzalez@unal.edu.co,CC,Isabella,Gonzalez,1998-05-18,F,Cartagena,Colombia,Cartagena,315 876 5432,Diagonal 30 # 40-25,NA,BO,3.0,50,10,Ciencias,ESTA,t,REGUL,PRE,1,,106985477
juanpablo.lopez@unal.edu.co,abc123,juanpablo.lopez@unal.edu.co,TI,Juan Pablo,López,2000-02-14,M,Baranquilla,Colombia,Baranquilla,318 234 5678,Calle 12 # 18-22,NA,BO,3.2,32,25,Enfermería,ENFE,f,REGUL,PRE,1,,104589788
camila.perez@unal.edu.co,qwertY,camila.perez@unal.edu.co,CE,Camila,Pérez,2001-07-27,F,México,Colombia,Bogotá,304 987 6541,Transversal 15 # 12-10,NA,BO,4.6,22,40,Odontología,ODON,t,REGUL,POS,1,,119687584
nicolas.ramirez@unal.edu.co,shakira101,nicolas.ramirez@unal.edu.co,CC,Nicolas,Ramirez,2002-09-10,M,Cali,Colombia,Cali,319 876 5430,Carrera 22 # 30-40,RG,MA,4.0,62,30.5,Arquitectura,ARQI,f,REGUL,PRE,2,,1163584790
mariajose.diaz@unal.edu.co,welcome1,mariajose.diaz@unal.edu.co,CC,Maria Jose,Diaz,2005-09-10,F,Villavicencio,Colombia,Villavicencio,301 234 5678,Avenida 3 # 5-10,NA,BO,2.7,11,15.1,Ciencias Humanas,HIST,f,REGUL,PRE,2,,11658978
andres.hernandez@unal.edu.co,pass1234,andres.hernandez@unal.edu.co,CC,Andres,Hernandez,2004-12-06,M,Bogota,Colombia,Bogota,317 987 6543,Calle 8 # 10-5,NA,BO,4.3,7,10,Artes,DIND,f,REGUL,PRE,2,,1154658
daniela.gomez@unal.edu.co,testing321,daniela.gomez@unal.edu.co,TI,Daniela,Gomez,1996-03-19,F,Pereira,Colombia,Pereira,321 234 5678,Carrera 12 # 8-15,IN,PA,4.4,15,94,Ingeniería,ISCO,f,PAES,POS,2,,11121654
vmoras@unal.edu.co,123456,vmoras@unal.edu.co,CC,Valeria,Mora,1999-06-15,F,Bogota,Colombia,Bogota,315 354 6587,Carrera 45 # 27-12,NA,BO,4.6,42,55.8,Ingeniería,ISCO,t,REGUL,PRE,5,,1013691479
