username;password;email;type_user;type_document;name;lastname;birth;sex;birth_place;country;city;phone;address;ethnicity;headquarter;PAPA;PAPI;PA;PBM;advance;faculty;major;is_enrolled;is_banned_behave_un;admission;study_level;num_semesters;contact_person
santiago_garcia;Password123;santiago.garcia@example.com;E;CC;Santiago;García;1995-04-15;M;Bogota;Colombia;Bogota; 310 123 4567;Carrera 10 # 25-35;NA;BO;4.8;4.9;4.8;2;92;Ciencias Agrarias;VETE;t;f;REGUL;PRE;1;
valentina_rodriguez;TestPassword;valentina.rodriguez@example.com;E;CC;Valentina;Rodríguez;1996-08-22;F;Bogota;Colombia;Bogota;320 987 6543;Calle 20 # 15-45;NA;BO;4.8;4.3;4.8;9;86;Ciencias Económicas;ECON;t;f;REGUL;PRE;1;
mateo_martinez;123456Abc;mateo.martinez@example.com;E;CC;Mateo;Martínez;1996-08-22;M;Medellín;Colombia;Medellín;300 456 7890;Avenida 5 # 8-16;NA;ME;3.5;3.1;3.5;17;50;Minas;IMIN;t;f;REGUL;PRE;1;
isabella_gonzalez;Pasword021;isabella.gonzalez@example.com;E;CC;Isabella;Gonzalez;1998-05-18;F;Cartagena;Colombia;Cartagena; 315 876 5432;Diagonal 30 # 40-25;NA;BO;3.0;4.2;3.0;50;10;Ciencias;ESTA;t;f;REGUL;PRE;1;
juanpablo_lopez; abc123;juanpablo.lopez@example.com,;E;TI;Juan Pablo;López;2000-02-14;M;Baranquilla;Colombia;Baranquilla;318 234 5678;Calle 12 # 18-22;NA;BO;3.2;3.0;3.5;32;25;Enfermería;ENFE;f;f;REGUL;PRE;1;
camila_perez;qwertY;camila.perez@example.com;E;CE;Camila;Pérez;2001-07-27;F;México;Colombia;Bogotá;304 987 6541;Transversal 15 # 12-10;NA;BO;4.6;4.5;4.6;22;40;Odontología;ODON;t;f;REGUL;POS;1;
nicolas_ramirez;shakira101;nicolas.ramirez@example.com;E;CC;Nicolas;Ramirez;2002-09-10;M;Cali;Colombia;Cali;319 876 5430;Carrera 22 # 30-40;RG;MA;4.0;4.7;4.0;62;30.5;Arquitectura;ARQI;f;f;REGUL;PRE;2;
mariajose_diaz;welcome1;mariajose.diaz@example.com,;E;CC;Maria Jose;Diaz;2005-09-10;F;Villavicencio;Colombia;Villavicencio;301 234 5678;Avenida 3 # 5-10;NA;BO;2.7;2.8;3.0;11;15.1;Ciencias Humanas;HIST;f;f;REGUL;PRE;2;
andres_hernandez;pass1234;andres.hernandez@example.com;E;CC;Andres;Hernandez;2004-12-06;M;Bogota;Colombia;Bogota;317 987 6543;Calle 8 # 10-5;NA;BO;4.3;3.1;4.3;7;10;Artes;DIND;f;f;REGUL;PRE;2;
daniela_gomez;testing321;daniela.gomez@example.com;E;TI;Daniela;Gomez;1996-03-19;F;Pereira;Colombia;Pereira;321 234 5678;Carrera 12 # 8-15;IN;PA;4.4;4.7;4.4;15;94;Ingeniería;ISCO;f;t;PAES;POS;2;
